question,abstract,id,answer,info_density_answer,info_density_abstract,subject_proportion_answer,subject_proportion_abstract,ner_proportion_answer,ner_proportion_abstract
"What is the level of agreement between the fully differential calculation in perturbative quantum chromodynamics for the production of massive photon pairs and data from the Fermilab Tevatron, and what predictions are made for more detailed tests with CDF and DO data?","  A fully differential calculation in perturbative quantum chromodynamics is
presented for the production of massive photon pairs at hadron colliders. All
next-to-leading order perturbative contributions from quark-antiquark,
gluon-(anti)quark, and gluon-gluon subprocesses are included, as well as
all-orders resummation of initial-state gluon radiation valid at
next-to-next-to-leading logarithmic accuracy. The region of phase space is
specified in which the calculation is most reliable. Good agreement is
demonstrated with data from the Fermilab Tevatron, and predictions are made for
more detailed tests with CDF and DO data. Predictions are shown for
distributions of diphoton pairs produced at the energy of the Large Hadron
Collider (LHC). Distributions of the diphoton pairs from the decay of a Higgs
boson are contrasted with those produced from QCD processes at the LHC, showing
that enhanced sensitivity to the signal can be obtained with judicious
selection of events.
",0704.0001,"The level of agreement between the fully differential calculation in perturbative quantum chromodynamics for the production of massive photon pairs and data from the Fermilab Tevatron is practically insensitive to the choice of the resummation scheme and the nonperturbative model. About 75% (25%) of the total rate at the Tevatron with CDF cuts imposed comes from the q ¯q + qg + ¯qg (gg + gqS) initial state. The fractions for the cuts used by DØ are 84% and 16%. Predictions are made for more detailed tests with CDF and DØ data, suggesting that more differential studies should be conducted to explore features that can be further investigated.",0.47,0.67,0.06060606060606061,0.0738255033557047,0.0707070707070707,0.03355704697986577
"How do the colored pebbles in the $(k,\ell)$-pebble game algorithm contribute to characterizing sparse graphs and solving tree decomposition problems?","  We describe a new algorithm, the $(k,\ell)$-pebble game with colors, and use
it obtain a characterization of the family of $(k,\ell)$-sparse graphs and
algorithmic solutions to a family of problems concerning tree decompositions of
graphs. Special instances of sparse graphs appear in rigidity theory and have
received increased attention in recent years. In particular, our colored
pebbles generalize and strengthen the previous results of Lee and Streinu and
give a new proof of the Tutte-Nash-Williams characterization of arboricity. We
also present a new decomposition that certifies sparsity based on the
$(k,\ell)$-pebble game with colors. Our work also exposes connections between
pebble game algorithms and previous sparse graph algorithms by Gabow, Gabow and
Westermann and Hendrickson.
",0704.0002,"The colored pebbles in the $(k,\ell)$-pebble game algorithm contribute to characterizing sparse graphs and solving tree decomposition problems by providing a way to construct sparse graphs and sparsity-certifying decompositions. The pebble game with colors is a graph construction rule that produces a sparse graph along with a sparsity-certifying decomposition. The colored pebbles on the vertices and edges of the graph capture the state of the game, and the edges of the graph are colored by the pebbles on them. This coloring of the graph edges helps in identifying monochromatic components and certifying the sparsity of the graph. The pebble game with colors allows for the characterization of sparse graphs and provides a method for solving tree decomposition problems by creating a structured decomposition of the graph based on the colors of the pebbles.",0.42,0.55,0.03731343283582089,0.05263157894736842,0.0,0.05263157894736842
"What evidence supports the dark matter field fluid model for the evolution of the Earth-Moon system, and how does it differ from the traditional theory of tidal friction?","  The evolution of Earth-Moon system is described by the dark matter field
fluid model proposed in the Meeting of Division of Particle and Field 2004,
American Physical Society. The current behavior of the Earth-Moon system agrees
with this model very well and the general pattern of the evolution of the
Moon-Earth system described by this model agrees with geological and fossil
evidence. The closest distance of the Moon to Earth was about 259000 km at 4.5
billion years ago, which is far beyond the Roche's limit. The result suggests
that the tidal friction may not be the primary cause for the evolution of the
Earth-Moon system. The average dark matter field fluid constant derived from
Earth-Moon system data is 4.39 x 10^(-22) s^(-1)m^(-1). This model predicts
that the Mars's rotation is also slowing with the angular acceleration rate
about -4.38 x 10^(-22) rad s^(-2).
",0704.0003,"The evidence supporting the dark matter field fluid model for the evolution of the Earth-Moon system is based on research by Hongjun Pan from the University of North Texas. This model, proposed in the Meeting of Division of Particle and Field 2004 by the American Physical Society, describes the Earth-Moon system's evolution with a non-Newtonian approach. The current behavior of the Earth-Moon system aligns well with this model. The dark matter field fluid model suggests that the past evolution of the Moon-Earth system can be explained without making assumptions about past geological and physical conditions. This model predicts the evolution of the Moon-Earth system by considering invisible matter and the interaction of the Earth and Moon with the dark matter field fluid. The model indicates that the traditional theory of tidal friction may not be the primary cause of the Earth-Moon system's evolution, as the pattern described by the dark matter field fluid model aligns with geological and fossil evidence.",0.56,0.58,0.030120481927710843,0.07142857142857142,0.04819277108433735,0.07857142857142857
What is the significance of the sign-reversing involution in evaluating the determinant of Stirling cycle numbers for unlabeled acyclic single-source automata?,"  We show that a determinant of Stirling cycle numbers counts unlabeled acyclic
single-source automata. The proof involves a bijection from these automata to
certain marked lattice paths and a sign-reversing involution to evaluate the
determinant.
",0704.0004,"The significance of the sign-reversing involution in evaluating the determinant of Stirling cycle numbers for unlabeled acyclic single-source automata lies in its ability to simplify the calculation process. By applying a sign-reversing involution, the determinant of Stirling cycle numbers can be computed as the total weight of certain lists of permutations, with each list carrying weight ±1. This involution helps cancel out all the -1 weights, thereby reducing the problem to counting the surviving lists. These surviving lists essentially represent the codes for paths in C∗ 1(n, p), leading to an efficient evaluation of det Ak(n) and demonstrating that the determinant counts the codes for column-marked subdiagonal paths.",0.46,0.18,0.056074766355140186,0.08108108108108109,0.028037383177570093,0.02702702702702703
How does the use of the dyadic grid help in computing the $\Lambda_{\alpha}$ norm for $\alpha\ge 0$?,"  In this paper we show how to compute the $\Lambda_{\alpha}$ norm, $\alpha\ge
0$, using the dyadic grid. This result is a consequence of the description of
the Hardy spaces $H^p(R^N)$ in terms of dyadic and special atoms.
",0704.0005,"The use of the dyadic grid helps in computing the $\Lambda_{\alpha}$ norm for $\alpha\ge 0$ by providing a method to describe the Hardy spaces $H^p(\mathbb{R}^N)$ in terms of dyadic and special atoms. Specifically, it allows for the computation of the $\Lambda_{\alpha}$ norm by characterizing the Hardy space $H^p$ in simpler subspaces such as $H^p_D$ (dyadic $H^p$) and $H^p_{S\alpha}$ (the space generated by the special atoms in $S\alpha$). This approach enables the representation of $H^p$ as the sum of $H^p_D$ and $H^p_{S\alpha}$, providing a framework for computing the $\Lambda_{\alpha}$ norm using the dyadic grid.",0.29,0.15,0.06329113924050633,0.06060606060606061,0.05063291139240506,0.12121212121212122
What is the significance of the correction of the Bose enhancement factor in the study of paired atoms in a Fermi gas with tunable interaction strengths controlled by Feshbach resonance?,"  We study the two-particle wave function of paired atoms in a Fermi gas with
tunable interaction strengths controlled by Feshbach resonance. The Cooper pair
wave function is examined for its bosonic characters, which is quantified by
the correction of Bose enhancement factor associated with the creation and
annihilation composite particle operators. An example is given for a
three-dimensional uniform gas. Two definitions of Cooper pair wave function are
examined. One of which is chosen to reflect the off-diagonal long range order
(ODLRO). Another one corresponds to a pair projection of a BCS state. On the
side with negative scattering length, we found that paired atoms described by
ODLRO are more bosonic than the pair projected definition. It is also found
that at $(k_F a)^{-1} \ge 1$, both definitions give similar results, where more
than 90% of the atoms occupy the corresponding molecular condensates.
",0704.0006,"The correction of the Bose enhancement factor is significant in the study of paired atoms in a Fermi gas with tunable interaction strengths controlled by Feshbach resonance because it helps in understanding how the gas deviates from a many-body state with bosonic characteristics. The correction factor, represented by the ratio χM+1/χM, reflects the deviation from perfect bosonic behavior. When this ratio approaches one, it indicates a more bosonic nature. This correction factor plays a crucial role in determining the bosonic characters of Cooper pairs in the Fermi gas system, especially in the transition region where paired atoms shift from being non-bosonic to bosonic.",0.44,0.63,0.05714285714285714,0.07801418439716312,0.047619047619047616,0.0851063829787234
"How does the polymer representation of quantum mechanics, particularly in loop quantum cosmology, relate to the ordinary Schroedinger theory and what implications does this have for understanding Planck scale physics?","  A rather non-standard quantum representation of the canonical commutation
relations of quantum mechanics systems, known as the polymer representation has
gained some attention in recent years, due to its possible relation with Planck
scale physics. In particular, this approach has been followed in a symmetric
sector of loop quantum gravity known as loop quantum cosmology. Here we explore
different aspects of the relation between the ordinary Schroedinger theory and
the polymer description. The paper has two parts. In the first one, we derive
the polymer quantum mechanics starting from the ordinary Schroedinger theory
and show that the polymer description arises as an appropriate limit. In the
second part we consider the continuum limit of this theory, namely, the reverse
process in which one starts from the discrete theory and tries to recover back
the ordinary Schroedinger quantum mechanics. We consider several examples of
interest, including the harmonic oscillator, the free particle and a simple
cosmological model.
",0704.0007,"The polymer representation in quantum mechanics, particularly in loop quantum cosmology, is explored in relation to the ordinary Schrödinger theory in a paper. The paper consists of two parts: in the first part, the polymer quantum mechanics is derived from the ordinary Schrödinger theory, demonstrating that the polymer description emerges as a suitable limit. In the second part, the continuum limit of the theory is considered, where the reverse process is examined, starting from the discrete theory and aiming to recover the ordinary Schrödinger quantum mechanics. This exploration includes various examples such as the harmonic oscillator, the free particle, and a simple cosmological model. The polymer representation, known for its non-standard quantum representation of the canonical commutation relations of quantum mechanics systems, has attracted attention due to its potential connection with Planck scale physics. The study suggests that in loop quantum cosmology, the polymer description could establish a physical bound on certain quantities, indicating a minimum value for physical volume and highlighting deviations from the standard classical description near phase space points close to the 'singularity'.",0.79,0.69,0.04519774011299435,0.044585987261146494,0.03954802259887006,0.044585987261146494
What are the advantages of using the developed numerical methods for calculating response to shock and ramp compression in material dynamics experiments compared to spatially-resolving simulations?,"  A general formulation was developed to represent material models for
applications in dynamic loading. Numerical methods were devised to calculate
response to shock and ramp compression, and ramp decompression, generalizing
previous solutions for scalar equations of state. The numerical methods were
found to be flexible and robust, and matched analytic results to a high
accuracy. The basic ramp and shock solution methods were coupled to solve for
composite deformation paths, such as shock-induced impacts, and shock
interactions with a planar interface between different materials. These
calculations capture much of the physics of typical material dynamics
experiments, without requiring spatially-resolving simulations. Example
calculations were made of loading histories in metals, illustrating the effects
of plastic work on the temperatures induced in quasi-isentropic and
shock-release experiments, and the effect of a phase transition.
",0704.0008,"The advantages of using the developed numerical methods for calculating response to shock and ramp compression in material dynamics experiments compared to spatially-resolving simulations include:

1. **Flexibility and Robustness**: The numerical methods were found to be flexible and robust, capable of capturing much of the physics of typical material dynamics experiments. They matched analytic results to a high accuracy.

2. **Ability to Capture Complex Deformation Paths**: The developed numerical methods were able to solve for composite deformation paths, such as shock-induced impacts and interactions with planar interfaces between different materials. This capability allows for a more comprehensive understanding of material behavior under dynamic loading conditions.

3. **Direct Evaluation of Thermodynamic Pathways**: The numerical methods enable the direct evaluation of thermodynamic pathways for shock and ramp compression, as well as ramp decompression. This direct evaluation approach provides a more accurate representation of material response compared to spatially-resolved simulations.

4. **Applicability to Materials with Different Properties**: The numerical methods demonstrated the capability to be applied to materials with very different properties. This versatility allows researchers to study a wide range of materials and their dynamic responses using the same numerical framework.

5. **Accuracy and Consistency**: The accuracy of the numerical schemes was tested and validated by comparing the results with shock and ramp compression of a material represented by a perfect gas equation of state. The numerical solutions were shown to be accurate and consistent in capturing the material behavior under dynamic loading conditions.",0.98,0.69,0.041666666666666664,0.037037037037037035,0.020833333333333332,0.0
What criteria were used to isolate bona fide young stellar objects (YSOs) from background contamination by extra-galactic objects in the Serpens star-forming region?,"  We discuss the results from the combined IRAC and MIPS c2d Spitzer Legacy
observations of the Serpens star-forming region. In particular we present a set
of criteria for isolating bona fide young stellar objects, YSO's, from the
extensive background contamination by extra-galactic objects. We then discuss
the properties of the resulting high confidence set of YSO's. We find 235 such
objects in the 0.85 deg^2 field that was covered with both IRAC and MIPS. An
additional set of 51 lower confidence YSO's outside this area is identified
from the MIPS data combined with 2MASS photometry. We describe two sets of
results, color-color diagrams to compare our observed source properties with
those of theoretical models for star/disk/envelope systems and our own modeling
of the subset of our objects that appear to be star+disks. These objects
exhibit a very wide range of disk properties, from many that can be fit with
actively accreting disks to some with both passive disks and even possibly
debris disks. We find that the luminosity function of YSO's in Serpens extends
down to at least a few x .001 Lsun or lower for an assumed distance of 260 pc.
The lower limit may be set by our inability to distinguish YSO's from
extra-galactic sources more than by the lack of YSO's at very low luminosities.
A spatial clustering analysis shows that the nominally less-evolved YSO's are
more highly clustered than the later stages and that the background
extra-galactic population can be fit by the same two-point correlation function
as seen in other extra-galactic studies. We also present a table of matches
between several previous infrared and X-ray studies of the Serpens YSO
population and our Spitzer data set.
",0704.0009,"The criteria used to isolate bona fide young stellar objects (YSOs) from background contamination by extra-galactic objects in the Serpens star-forming region involved several steps. One key criterion was the identification of YSOs primarily with spectral energy distributions (SEDs) suggesting extreme youth. The total number of YSOs, mostly Class II, was found to be greater in the region outside the clusters. Additionally, the study focused on areas of high extinction and dense clusters of YSOs, particularly those containing Class I and Class Flat sources. The spatial distribution of high-quality YSO candidates was highly clustered, providing strong evidence of clustering of the youngest objects in the Serpens star-forming region. Furthermore, a comparison of the surface density of young stellar objects in clusters was used as an indicator of the richness of star formation in the cluster, helping to distinguish YSOs from background extra-galactic objects.",0.7,1.0,0.04054054054054054,0.0353356890459364,0.02027027027027027,0.045936395759717315
What are the new characterizations and proofs of known results regarding bipartite graphs and partial cubes of arbitrary dimension in the theory of partial cubes?,"  Partial cubes are isometric subgraphs of hypercubes. Structures on a graph
defined by means of semicubes, and Djokovi\'{c}'s and Winkler's relations play
an important role in the theory of partial cubes. These structures are employed
in the paper to characterize bipartite graphs and partial cubes of arbitrary
dimension. New characterizations are established and new proofs of some known
results are given.
  The operations of Cartesian product and pasting, and expansion and
contraction processes are utilized in the paper to construct new partial cubes
from old ones. In particular, the isometric and lattice dimensions of finite
partial cubes obtained by means of these operations are calculated.
",0704.0010,"The new characterizations and proofs of known results regarding bipartite graphs and partial cubes in the theory of partial cubes include the introduction of semicubes, Djoković’s θ and Winkler’s Θ relations, and the establishment of some of their properties. Bipartite graphs and partial cubes are characterized by means of these structures. Additionally, another characterization of partial cubes is obtained by utilizing a geometric property of families. The paper focuses on presenting new characterizations of bipartite graphs and partial cubes, as well as providing new proofs for known results.",0.38,0.51,0.045454545454545456,0.08653846153846154,0.022727272727272728,0.019230769230769232
